rlz_id,branch_path,weight
72,b131~b1,8.6799997e-04
73,b131~b2,8.6799997e-04
74,b132~b1,8.6799997e-04
75,b132~b2,8.6799997e-04
76,b133~b1,8.6799997e-04
77,b133~b2,8.6799997e-04
78,b134~b1,8.6799997e-04
79,b134~b2,8.6799997e-04
80,b135~b1,8.6799997e-04
81,b135~b2,8.6799997e-04
82,b136~b1,8.6799997e-04
83,b136~b2,8.6799997e-04
84,b137~b1,8.6799997e-04
85,b137~b2,8.6799997e-04
86,b138~b1,8.6799997e-04
87,b138~b2,8.6799997e-04
88,b139~b1,8.6799997e-04
89,b139~b2,8.6799997e-04
90,b14~b1,8.6799997e-04
91,b14~b2,8.6799997e-04
92,b140~b1,8.6799997e-04
93,b140~b2,8.6799997e-04
94,b141~b1,8.6799997e-04
95,b141~b2,8.6799997e-04
96,b142~b1,8.6799997e-04
97,b142~b2,8.6799997e-04
98,b143~b1,8.6799997e-04
99,b143~b2,8.6799997e-04
100,b144~b1,8.6799997e-04
101,b144~b2,8.6799997e-04
102,b145~b1,8.6799997e-04
103,b145~b2,8.6799997e-04
104,b146~b1,8.6799997e-04
105,b146~b2,8.6799997e-04
106,b147~b1,8.6799997e-04
107,b147~b2,8.6799997e-04
108,b148~b1,8.6799997e-04
109,b148~b2,8.6799997e-04
110,b149~b1,8.6799997e-04
111,b149~b2,8.6799997e-04
112,b15~b1,8.6799997e-04
113,b15~b2,8.6799997e-04
114,b150~b1,8.6799997e-04
115,b150~b2,8.6799997e-04
116,b151~b1,8.6799997e-04
117,b151~b2,8.6799997e-04
118,b152~b1,8.6799997e-04
119,b152~b2,8.6799997e-04
120,b153~b1,8.6799997e-04
121,b153~b2,8.6799997e-04
122,b154~b1,8.6799997e-04
123,b154~b2,8.6799997e-04
124,b155~b1,8.6799997e-04
125,b155~b2,8.6799997e-04
126,b156~b1,8.6799997e-04
127,b156~b2,8.6799997e-04
128,b157~b1,8.6799997e-04
129,b157~b2,8.6799997e-04
130,b158~b1,8.6799997e-04
131,b158~b2,8.6799997e-04
132,b159~b1,8.6799997e-04
133,b159~b2,8.6799997e-04
134,b16~b1,8.6799997e-04
135,b16~b2,8.6799997e-04
136,b160~b1,8.6799997e-04
137,b160~b2,8.6799997e-04
138,b161~b1,8.6799997e-04
139,b161~b2,8.6799997e-04
140,b162~b1,8.6799997e-04
141,b162~b2,8.6799997e-04
142,b163~b1,8.6799997e-04
143,b163~b2,8.6799997e-04
