ID, X, Y
2_1_41,14.950965,46.717924
3_1_1,14.783822,46.804773
3_1_1,14.79375393,46.79107382
3_1_2,14.79375393,46.79107382
3_1_2,14.80368586,46.77737465
3_1_3,14.80368586,46.77737465
3_1_3,14.81361779,46.76367547
3_1_4,14.81361779,46.76367547
3_1_4,14.82420902,46.75057378
3_1_5,14.82420902,46.75057378
3_1_5,14.83686739,46.73934541
3_1_6,14.83686739,46.73934541
3_1_6,14.84952576,46.72811705
3_1_7,14.84952576,46.72811705
3_1_7,14.8621843,46.71688887
3_1_8,14.8621843,46.71688887
3_1_8,14.87484288,46.70566075
3_1_9,14.87484288,46.70566075
3_1_9,14.88750145,46.6944326
3_1_10,14.88750145,46.6944326
3_1_10,14.90015986,46.68320427
3_1_11,14.90015986,46.68320427
3_1_11,14.91281826,46.67197594
3_1_12,14.91281826,46.67197594
3_1_12,14.92595769,46.66135808
3_1_13,14.92595769,46.66135808
3_1_13,14.93983522,46.65167691
3_1_14,14.93983522,46.65167691
3_1_14,14.95371274,46.64199575
3_1_15,14.95371274,46.64199575
3_1_15,14.96759027,46.63231459
3_1_16,14.96759027,46.63231459
3_1_16,14.97983665,46.62066144
3_1_17,14.97983665,46.62066144
3_1_17,14.99194832,46.60884543
3_1_18,14.99194832,46.60884543
3_1_18,15.00405998,46.59702942
3_1_19,15.00405998,46.59702942
3_1_19,15.01617168,46.58521344
3_1_20,15.01617168,46.58521344
3_1_20,15.02828348,46.57339756
3_1_21,15.02828348,46.57339756
3_1_21,15.04039527,46.56158168
3_1_22,15.04039527,46.56158168
3_1_22,15.05250707,46.5497658
3_1_23,15.05250707,46.5497658
3_1_23,15.06551128,46.5390107
3_1_24,15.06551128,46.5390107
3_1_24,15.07922558,46.52909966
3_1_25,15.07922558,46.52909966
3_1_25,15.09293987,46.51918863
3_1_26,15.09293987,46.51918863
3_1_26,15.1066543,46.50927777
3_1_27,15.1066543,46.50927777
3_1_27,15.12036877,46.49936697
3_1_28,15.12036877,46.49936697
3_1_28,15.13408324,46.48945617
3_1_29,15.13408324,46.48945617
3_1_29,15.14779754,46.47954514
3_1_30,15.14779754,46.47954514
3_1_30,15.16151184,46.46963411
3_1_31,15.16151184,46.46963411
3_1_31,15.17543468,46.4600658
3_1_32,15.17543468,46.4600658
3_1_32,15.19053995,46.45244074
3_1_33,15.19053995,46.45244074
3_1_33,15.20564521,46.44481568
3_1_34,15.20564521,46.44481568
3_1_34,15.22075048,46.43719062
3_1_35,15.22075048,46.43719062
3_1_35,15.23585574,46.42956556
3_1_36,15.23585574,46.42956556
3_1_36,15.25095238,46.42192354
3_1_37,15.25095238,46.42192354
3_1_37,15.26600958,46.41420399
3_1_38,15.26600958,46.41420399
3_1_38,15.28106677,46.40648443
3_1_39,15.28106677,46.40648443
3_1_39,15.29612401,46.39876496
3_1_40,15.29612401,46.39876496
3_1_40,15.31118134,46.39104568
3_1_41,15.31118134,46.39104568
3_1_41,15.32623868,46.38332641
3_1_42,15.32623868,46.38332641
3_1_42,15.335224,46.37872
4_1_1,12.75126324,46.70034327
4_1_1,12.73888732,46.70065085
4_1_2,12.76802526,46.69833319
4_1_2,12.75126324,46.70034327
4_1_3,12.78470877,46.69550987
